artist rymrat prat reviews
"London Sinfonietta" 3.83 5,878 162
"The Pharcyde" 3.74 10,569 371
Mayhem 3.86 5,230 133
"Bonnie 'Prince' Billy" 3.84 5,614 182
"The Velvet Underground" 3.80 10,718 357
"Charles Mingus" 3.97 2,176 52
"Thelonious Monk Septet" 3.97 1,798 53
"Dr. Dre" 3.81 6,883 305
"植松伸夫 " 4.00 754 23
"Snoop Doggy Dogg" 3.83 5,627 236
AC/DC 3.66 11,821 792
"Elliott Smith" 3.88 6,484 151
"Talk Talk" 3.84 5,606 160
Pavement 3.85 6,268 217
"Black Star" 4.04 251 8
"Steve Reich and Musicians" 3.88 4,316 157
"Fairport Convention" 3.97 1,320 41
XTC 3.92 3,162 133
"PJ Harvey" 3.94 2,557 73
"Nina Simone" 3.87 5,580 236
Cream 3.85 6,730 191
"Flying Lotus" 3.95 2,306 50
"Cannibal Ox" 3.80 7,761 335
"The White Stripes" 3.72 8,981 196
"The Feelies" 3.85 4,642 165
"Nine Inch Nails" 3.74 12,704 441
U2 3.85 5,093 142
"The Fall" 3.84 7,374 250
"Tim Hecker" 3.77 10,921 549
"Richard & Linda Thompson" 3.88 4,256 144
"Marvin Gaye" 3.86 4,513 98
"T. Rex" 3.92 2,469 108
UGK 3.91 3,753 121
"Herbie Hancock" 3.91 3,464 156
"Edge of Sanity" 3.92 2,379 85
"Howard Shore" 3.95 2,395 66
"Queens of the Stone Age" 3.88 3,434 134
"D'Angelo and The Vanguard" 3.97 1,591 34
"Os Mutantes" 3.81 8,873 234
"光田康典 " 3.84 5,086 115
"Big Star" 3.86 4,601 171
Rush 3.78 7,686 300
Ride 3.96 1,655 40
Immortal 3.76 7,794 202
"Wishbone Ash" 3.88 3,510 107
Ween 3.89 3,242 183
Rush 3.85 5,563 173
"Black Sabbath" 3.85 5,252 204
"Takács Quartet" 3.82 7,120 276
"Judas Priest" 4.01 508 15
Devo 3.89 4,031 183
"Lynyrd Skynyrd" 3.82 6,741 262
"Miles Davis" 3.88 4,104 192
"Guns n' Roses" 3.91 3,733 90
"The Thelonious Monk Quartet" 3.63 12,245 794
"Tom Waits" 3.94 2,357 55
"Herbie Hancock" 3.89 4,807 138
"The Congos" 3.92 2,891 66
Prince 3.93 2,446 100
"Belle and Sebastian" 3.88 4,488 167
Immolation 3.82 6,637 173
"Yo La Tengo" 3.90 2,413 77
"The Cure" 3.85 5,575 159
"植松伸夫 " 3.82 7,545 215
"The Ornette Coleman Double Quartet" 3.97 1,176 65
Exuma 3.91 2,814 95
"Sex Pistols" 3.87 3,860 104
"Wayne Shorter" 3.66 11,487 708
Gorguts 3.91 2,624 73
"Depeche Mode" 3.87 3,721 187
"Robbie Basho" 3.83 5,796 172
"Pierre Fournier" 3.95 1,297 32
Opeth 4.01 480 9
"Johnny Cash" 3.85 5,136 148
"English Baroque Soloists" 3.89 4,418 165
Coil 3.97 527 17
Sepultura 3.89 3,066 65
Darkthrone 3.87 4,268 136
"Depeche Mode" 3.83 4,934 152
"Judas Priest" 3.84 5,347 140
"Lee Morgan" 3.94 2,024 62
"Roy Harper" 3.92 2,180 94
"The Band" 3.88 5,321 228
"Tim Buckley" 3.85 4,223 163
Dismember 3.90 2,569 96
"Van Morrison" 3.93 2,229 105
"Yo La Tengo" 3.88 4,522 101
"光田康典 " 3.96 546 34
NoMeansNo 3.89 3,540 116
"Kate Bush" 3.83 5,749 215
"Simon & Garfunkel" 3.87 4,595 177
Blondie 3.85 6,287 233
"Beach House" 3.69 10,068 338
"System of a Down" 3.66 11,699 519
"David Bowie" 3.82 8,222 283
"Frank Zappa" 3.85 4,931 141
Faust 3.80 5,197 183
Autopsy 3.90 2,558 77
Bathory 3.84 4,320 128
"The Sound" 3.90 3,080 79
"Pete Rock & C.L. Smooth" 3.89 2,557 90
"Nick Cave & The Bad Seeds" 3.84 5,242 144
"Massive Attack" 3.78 8,655 247
"Galaxie 500" 3.78 6,171 202
"Big Black" 3.84 5,150 126
"The Cure" 3.82 6,685 202
Rush 3.77 6,542 187
"Astor Piazzolla and The New Tango Quintet" 3.85 5,074 191
"De La Soul" 3.95 1,231 40
"Bark Psychosis" 3.80 5,682 214
"John Coltrane" 3.81 4,867 139
Coil 3.92 2,292 65
"Pink Floyd" 3.84 4,063 94
"Stars of the Lid" 3.69 10,984 361
"The Pretty Things" 3.85 3,687 115
"Joni Mitchell" 3.90 2,928 143
"Wiener Philharmoniker" 3.88 3,535 130
Cryptopsy 4.01 400 9
"Oliver Nelson" 3.87 3,760 187
Jay-Z 3.81 5,495 246
"Nick Cave and The Bad Seeds" 3.89 4,547 139
"Sixteen Horsepower" 3.89 2,972 90
"Porcupine Tree" 3.81 6,347 238
"Big Star" 3.86 5,076 192
"Manic Street Preachers" 3.82 4,800 253
"Pete Rock & C.L. Smooth" 3.92 1,594 61
"The Cure" 3.83 7,099 189
Stereolab 3.83 5,322 154
"King Diamond" 3.88 2,925 128
"Wiener Philharmoniker" 3.95 689 19
"Guided by Voices" 3.86 4,003 140
"The Mothers" 3.88 3,482 103
"Tim Buckley" 3.86 3,906 137
OutKast 3.78 6,909 189
Mogwai 3.75 7,315 186
"The Rolling Stones" 3.80 6,384 260
Swans 3.80 6,052 116
Swans 3.83 5,465 60
"Bad Brains" 3.83 5,124 215
"John Martyn" 3.89 2,543 115
"Herbie Hancock" 3.91 2,340 71
"Clint Mansell" 3.90 1,960 71
"David Wise" 3.95 608 25
"Bob Dylan" 3.82 6,257 233
Helloween 3.84 3,412 137
Supertramp 3.85 3,781 163
"Crosby, Stills & Nash" 3.87 3,545 146
"A Tribe Called Quest" 3.88 4,537 233
"田中宏和 " 3.85 4,772 119
"Viktor Vaughn" 4.00 546 21
"Van der Graaf Generator" 3.87 3,636 78
Neurosis 3.90 2,207 90
"Mike Oldfield" 3.88 3,073 73
Autechre 3.88 2,861 100
"Bob Dylan" 3.79 5,452 148
"Frank Ocean" 3.79 7,050 239
"Paul Simon" 3.71 10,066 258
"The Pogues" 3.83 5,853 247
"The Gun Club" 3.83 4,239 128
"芸能山城組 " 3.95 1,063 36
R.E.M. 3.94 1,136 21
"Elton John" 3.83 5,495 195
"Pascal Rogé" 3.86 4,574 247
"Reinbert de Leeuw" 3.94 1,132 29
"The Charlie Mingus Jazz Workshop" 3.94 823 21
"Gil Scott-Heron" 3.90 2,838 75
Coroner 3.90 2,554 79
R.E.M. 3.89 2,350 66
"Dead Kennedys" 3.84 4,942 186
"Blind Guardian" 3.88 3,963 109
"Philip Glass" 3.85 3,053 108
"Basil Poledouris" 3.87 2,994 61
Tindersticks 3.93 674 24
"Cat Stevens" 3.85 2,981 101
"Wayne Shorter" 3.87 3,918 163
"Grant Green" 3.92 1,691 45
"The Mothers" 3.92 2,021 54
"The Allman Brothers Band" 3.86 3,803 137
Death 3.89 2,964 133
"Ghostface Killah" 3.83 4,908 146
"Eric B. & Rakim" 3.88 3,192 127
"Hüsker Dü" 3.83 4,510 205
"Ghostface Killah" 3.84 4,651 146
"Danny Brown" 3.85 3,749 133
"Sun Ra and His Arkestra" 3.77 6,632 130
"This Heat" 3.93 1,311 18
"Jorge Ben" 3.84 3,586 104
"Nick Cave and The Bad Seeds" 3.92 1,633 61
"Steely Dan" 3.81 5,899 152
Wipers 3.88 3,980 161
Yes 3.89 2,675 58
Neurosis 3.83 5,104 237
Camel 3.85 2,922 61
"Van Halen" 3.87 3,543 122
"The Knife" 3.77 5,976 357
"Tyler, the Creator" 3.74 6,983 176
"Miles Davis" 3.77 7,359 177
"Angelo Badalamenti" 3.96 1,391 20
"Blue Öyster Cult" 3.88 2,799 144
"Sufjan Stevens" 3.74 7,584 241
"Derek and The Dominos" 3.82 4,541 248
"Sonny Sharrock" 3.90 1,502 55
"Peter Gabriel" 3.86 4,794 208
"Pierre Boulez" 3.95 446 15
"久石譲 " 3.97 711 11
"Miles Davis Quintet" 3.90 2,682 81
Candlemass 3.86 2,877 86
"Joni Mitchell" 3.88 2,667 122
Invisible 3.93 937 35
"Collegium Vocale Gent" 3.94 438 11
"Al Green" 3.90 2,080 81
W.A.S.P. 3.88 1,822 91
Camel 3.87 3,299 122
Rainbow 3.88 3,030 115
"Baden Powell" 3.93 898 20
"Siouxsie and The Banshees" 3.85 3,961 108
"Grateful Dead" 3.80 5,001 254
Pixies 3.73 8,857 260
Deerhunter 3.74 7,975 207
AC/DC 3.70 8,454 444
"Tom Waits" 3.85 4,363 138
Gravediggaz 3.97 429 9
"Dusty Springfield" 3.86 2,984 110
"Meat Puppets" 3.89 2,844 131
"Andrew Hill" 3.84 4,154 150
"Diamond Head" 3.89 1,979 57
Gojira 3.90 1,922 105
